,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
0,2020-07-03,3,7,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia
1,2020-07-02,2,7,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia
2,2020-07-01,1,7,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia
3,2020-06-30,30,6,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia
4,2020-06-29,29,6,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia
5,2020-06-28,28,6,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia
6,2020-06-27,27,6,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia
7,2020-06-26,26,6,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia
8,2020-06-25,25,6,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia
9,2020-06-24,24,6,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia
10,2020-06-23,23,6,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia
11,2020-06-22,22,6,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia
12,2020-06-21,21,6,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia
13,2020-06-20,20,6,2020,346,2,Afghanistan,AF,AFG,38041757.0,Asia
14,2020-06-19,19,6,2020,658,42,Afghanistan,AF,AFG,38041757.0,Asia
15,2020-06-18,18,6,2020,564,13,Afghanistan,AF,AFG,38041757.0,Asia
16,2020-06-17,17,6,2020,783,13,Afghanistan,AF,AFG,38041757.0,Asia
17,2020-06-16,16,6,2020,761,7,Afghanistan,AF,AFG,38041757.0,Asia
18,2020-06-15,15,6,2020,664,20,Afghanistan,AF,AFG,38041757.0,Asia
19,2020-06-14,14,6,2020,556,5,Afghanistan,AF,AFG,38041757.0,Asia
20,2020-06-13,13,6,2020,656,20,Afghanistan,AF,AFG,38041757.0,Asia
21,2020-06-12,12,6,2020,747,21,Afghanistan,AF,AFG,38041757.0,Asia
22,2020-06-11,11,6,2020,684,21,Afghanistan,AF,AFG,38041757.0,Asia
23,2020-06-10,10,6,2020,542,15,Afghanistan,AF,AFG,38041757.0,Asia
24,2020-06-09,9,6,2020,575,12,Afghanistan,AF,AFG,38041757.0,Asia
25,2020-06-08,8,6,2020,791,30,Afghanistan,AF,AFG,38041757.0,Asia
26,2020-06-07,7,6,2020,582,18,Afghanistan,AF,AFG,38041757.0,Asia
27,2020-06-06,6,6,2020,915,9,Afghanistan,AF,AFG,38041757.0,Asia
28,2020-06-05,5,6,2020,787,6,Afghanistan,AF,AFG,38041757.0,Asia
29,2020-06-04,4,6,2020,758,24,Afghanistan,AF,AFG,38041757.0,Asia
30,2020-06-03,3,6,2020,759,5,Afghanistan,AF,AFG,38041757.0,Asia
31,2020-06-02,2,6,2020,545,8,Afghanistan,AF,AFG,38041757.0,Asia
32,2020-06-01,1,6,2020,680,8,Afghanistan,AF,AFG,38041757.0,Asia
33,2020-05-31,31,5,2020,866,3,Afghanistan,AF,AFG,38041757.0,Asia
34,2020-05-30,30,5,2020,623,11,Afghanistan,AF,AFG,38041757.0,Asia
